id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
1,A Touch Of Silver.mp3,2.1820904638052423,2008.227305854556,22.166285690993366,4271.332505170037,2362.906657669948,129.19921875,4.348369121551514
2,All The Joy.mp3,-0.4209785868496595,1810.5021195431539,22.819677604915313,3800.1436877176857,2217.64880458454,89.10290948275862,3.7499024868011475
3,Almost Like Being in Love.mp3,0.4319726805168546,1920.5747392490596,20.06893338914938,4231.882743717347,2553.8585561784275,95.703125,4.4507737159729
4,Angel (Live).mp3,5.984499482507127,1777.5662506358267,21.454588666228883,3898.109761996904,2247.092577976941,161.4990234375,6.248867511749268
5,Anniversary - Radio Edit.mp3,1.475226826280626,2629.8421842892362,21.64793538340935,5873.93114780863,2734.9295653464696,89.10290948275862,3.9632580280303955
6,"Baby, This Love I Have.mp3",-0.5540183955488647,2119.068513013527,22.43290161247854,4437.09816947441,2293.6213920368828,161.4990234375,3.5011329650878906
7,Bee Blues.mp3,-0.008894008019054489,1390.242664301087,22.375570729324203,3006.556819762239,1976.7646662147504,129.19921875,3.36039400100708
8,Begin The Beguine - Alternate Take.mp3,-0.20407014040691046,1768.8412687193563,22.529182789781242,3831.8518293162247,2278.235228656858,92.28515625,3.510814666748047
9,Blue Monk.mp3,-1.216743954769966,1786.9132388719418,22.355132506176936,4017.275708083398,2420.404914862551,103.359375,2.836167335510254
10,Blues for Sharpie.mp3,0.45292210104467645,2484.395667073028,21.624493807196938,6717.251048368566,3132.485393225945,143.5546875,2.885711908340454
11,Brother Hiroshi.mp3,0.9416655726225179,1863.6938635353756,21.79550580803189,4347.507044553018,2356.9913928723804,123.046875,4.050741672515869
12,Cambridge Place.mp3,0.7449457040158359,1986.3178921007766,20.587381934016868,4548.289163784346,2499.780958394585,151.99908088235293,3.521097421646118
13,Cantaloupe Island.mp3,-1.6483469516194573,2136.486531249053,22.18124427184237,4694.729944943643,2336.205161474819,117.45383522727273,2.3359291553497314
14,First Began.mp3,-2.346395519348764,1827.5283833670715,21.540249098659793,3878.134882782266,2131.2584106603545,73.828125,4.2408905029296875
15,Garden of Delight.mp3,-1.3856922342193716,1527.5144491038905,21.574205938327776,3390.7878297032216,2239.3403436907447,107.666015625,2.461914539337158
16,Gramercy Sunset.mp3,-3.223134254433167,919.4032321766816,23.630068036898404,1623.7151816164378,1326.876907388733,89.10290948275862,2.2899937629699707
17,Ham Hocks and Cabbage.mp3,-6.427931799201189,1292.1499734225204,21.808515391522235,2683.125442174197,1827.3475600537497,123.046875,1.2185866832733154
18,Have You Met Miss Jones.mp3,-4.366716637704954,2647.5116865751224,22.84914930723517,5225.610068117502,2396.169516739894,129.19921875,1.2837378978729248
19,Honeysuckle Rose.mp3,-1.8110642483343744,1561.4974740664616,20.24649233825201,3549.195205168827,2222.7476097720655,83.35433467741936,1.810569405555725
20,Just in Time.mp3,-1.7368700585321915,1524.272708904139,21.64234080776416,3009.5318017729296,1998.982608716302,89.10290948275862,2.8524959087371826
21,Keep You in Mind.mp3,6.805979450663456,1765.143248684475,21.328756620532673,3781.5271336227747,2252.5420402344134,112.34714673913044,8.500946044921875
22,Killer Joe.mp3,2.1621909553381116,1731.933157607895,22.175185174993302,3942.4344939713137,2322.519003640673,123.046875,4.406216144561768
23,Let's Call the Whole Thing Off.mp3,0.24286415385077118,2289.0948116461504,22.5235494513963,4823.054168984617,2465.3239516938047,143.5546875,3.6148526668548584
24,Let's Fall In Love.mp3,-3.275392654153202,2117.4612507276624,23.673400723418062,4259.740908596169,2187.431700706269,151.99908088235293,2.2366783618927
25,London Blues.mp3,0.2856439791678482,1825.3287172478504,21.692749807795693,4089.4836047854587,2368.3180932272853,151.99908088235293,2.832918882369995
26,Love Jumped Out.mp3,-6.2303365245586315,2996.676019309032,21.090081274565996,7056.573996529121,3086.3692650622393,151.99908088235293,0.9651669859886169
27,Lucky To Be Me.mp3,0.47047230388300054,1419.756203540683,21.532060307360727,2951.490486074158,1922.3326186706254,83.35433467741936,4.590784549713135
28,Mojo.mp3,-4.546151916635133,2956.27932871374,22.882527076998343,5930.564138690015,2635.6671860379042,172.265625,2.0497467517852783
29,New Orleans.mp3,-3.1042246216377825,2114.143876654703,23.015854636175234,4574.414005811001,2357.054599355427,117.45383522727273,2.221541404724121
30,Nice Work If You Can Get It.mp3,-1.0745851049585493,1317.4390883921624,21.239466658226938,2712.7169299051857,2031.0709109377763,103.359375,2.1769158840179443
31,No Ordinary Love - Remastered.mp3,2.810734609891843,1751.2658854927324,20.2465863732584,4066.933741141399,2388.681929139588,112.34714673913044,6.815979957580566
32,One For Daddy-O.mp3,-5.192249835685163,3433.067000372403,22.91212421216469,7567.9625708990425,3127.3111179379334,107.666015625,2.300926685333252
33,Remember - 1999 Digital Remaster.mp3,-0.89978033214982,2713.2198875866115,21.45022320278152,6270.04541922649,2834.9213735514636,83.35433467741936,4.437175750732422
34,Sandu.mp3,-2.2315056967840223,2778.539982213617,22.014876410129514,5875.272806362471,2692.0084511182044,143.5546875,3.247591733932495
35,Smoke Stack - 1999 Digital Remaster.mp3,0.519200121301957,3248.40590283465,20.079707829106056,6664.9680311834845,2757.2413961521424,107.666015625,4.2710418701171875
36,So In Love - feat. Anthony Hamilton.mp3,5.469212035066012,2624.521817209582,19.623803890726535,5795.073291317966,2711.5384043391955,103.359375,8.048274993896484
37,Spend The Night.mp3,3.225213214601952,2373.4031722022596,21.989930260705854,5242.984963053889,2611.0369935985705,89.10290948275862,4.9265899658203125
38,Stella By Starlight.mp3,-0.5548046343336388,1180.9066235465139,22.095066936429657,2391.1188745646286,1804.4410700356564,89.10290948275862,2.910372495651245
39,Stockholm Sweetnin'.mp3,2.1814705363169535,1736.8383156564425,24.179879639441683,3616.6697971592007,2032.1898786350255,117.45383522727273,5.439447402954102
40,Stolen Moments.mp3,-4.90989599397924,1668.285189752273,25.421476545907442,3261.0719474107486,1845.1423400421397,117.45383522727273,2.616041421890259
41,Sun Out.mp3,-0.3890052130969129,1684.0872571301184,22.598217991718798,3832.376826141641,2389.6079264072523,129.19921875,3.539618492126465
42,The Outlaw (Rudy Van Gelder Edition) [2007 - Remastered].mp3,-1.6663138099202965,2054.933584539667,22.08137012661769,4520.380999207866,2379.5836429596566,135.99917763157896,3.2546870708465576
43,The Runaround.mp3,-0.051710236744492266,1578.4174011095445,20.858143111759517,3324.0049001971265,2079.8755387264127,129.19921875,3.4567527770996094
44,They Didn't Believe Me.mp3,-2.2040522013380124,1314.3113096253987,23.699899508109894,2552.9178961880807,1791.8513124560477,135.99917763157896,2.698106527328491
